,ticker,quarter,year,pte,ptb,roe,roa,epsChange,bookValuePerShareChange,payableOnEquity,equityOnAsset,potentialScore,riskScore,potential
139,TCB,1,2020,0.025000000000000022,0.0,0.177,0.029,0.035,0.039,0.0634920634920634,0.165,0.6727368750489008,0.32726312495109927,1.0
140,TCB,4,2019,0.42499999999999993,0.33333333333333337,0.178,0.029,0.083,0.053,0.07936507936507936,0.162,0.7206701713446688,0.27932982865533107,1.0
141,TCB,3,2019,0.5000000000000001,0.39999999999999997,0.172,0.027,0.056,0.046,0.07936507936507936,0.16,0.6718915566482461,0.32810844335175393,1.0
142,TCB,2,2019,0.4125,0.33333333333333337,0.17,0.027,0.036,0.046,0.11111111111111115,0.156,0.6538893020949548,0.3461106979050453,1.0
143,TCB,1,2019,0.725,0.6,0.186,0.028,0.004,0.04,0.0634920634920634,0.165,0.5758603675835697,0.4241396324164302,1.0
144,TCB,4,2018,0.7374999999999999,0.6666666666666667,0.215,0.029,-0.034,0.047,0.07936507936507936,0.161,0.6455008655322207,0.3544991344677793,1.0
145,TCB,3,2018,0.8624999999999999,0.8666666666666668,0.254,0.032,0.042,0.043,0.09523809523809519,0.159,0.6160053636066781,0.3839946363933218,1.0
146,TCB,2,2018,1.0,1.0,0.243,0.032,0.131,0.261,0.09523809523809519,0.158,0.6186074212175354,0.3813925787824646,1.0
147,VCB,4,2022,0.16417910447761191,0.41379310344827586,0.24,0.019,0.132,0.075,0.4285714285714285,0.076,0.6099192370884986,0.39008076291150134,1.0
148,VCB,3,2022,0.04477611940298505,0.24137931034482762,0.222,0.017,0.059,0.044,0.4,0.078,0.5615212750440882,0.43847872495591184,1.0
149,VCB,2,2022,0.126865671641791,0.31034482758620685,0.219,0.017,0.086,0.05,0.419047619047619,0.077,0.6230336453889237,0.37696635461107636,1.0
150,VCB,1,2022,0.32835820895522383,0.4482758620689654,0.211,0.017,0.048,0.053,0.3714285714285714,0.08,0.5849947561075923,0.4150052438924076,1.0
151,VCB,4,2021,0.3358208955223881,0.4827586206896551,0.209,0.016,0.037,0.015,0.39047619047619037,0.079,0.6111921791156962,0.3888078208843037,1.0
152,VCB,3,2021,0.32835820895522383,0.4482758620689654,0.208,0.016,0.029,0.044,0.3809523809523809,0.079,0.5464119058325547,0.4535880941674452,1.0
153,VCB,2,2021,0.619402985074627,0.7241379310344825,0.211,0.016,-0.031,0.039,0.3619047619047619,0.08,0.4623418033765923,0.5376581966234076,0.0
154,VCB,1,2021,0.29104477611940294,0.4827586206896551,0.228,0.017,0.148,0.022,0.39047619047619037,0.079,0.49497339545453223,0.5050266045454678,0.0
155,VCB,4,2020,0.5149253731343283,0.5517241379310345,0.2,0.014,0.074,0.056,0.45714285714285713,0.074,0.4851133570062825,0.5148866429937176,0.0
156,VCB,3,2020,0.3955223880597016,0.4482758620689654,0.197,0.015,-0.058,0.045,0.39047619047619037,0.079,0.5171333352322899,0.48286666476771006,1.0
