,Date,Close,roe,roa,earningPerShare,bookValuePerShare,assetOnEquity,payableOnEquity
650,2021-01-29,32000.0,0.2,0.033,4055.0,22487.0,5.9,4.9
651,2021-02-01,32200.0,0.2,0.033,4055.0,22487.0,5.9,4.9
652,2021-02-02,34000.0,0.2,0.033,4055.0,22487.0,5.9,4.9
653,2021-02-03,35000.0,0.2,0.033,4055.0,22487.0,5.9,4.9
654,2021-02-04,35000.0,0.2,0.033,4055.0,22487.0,5.9,4.9
655,2021-02-05,36300.0,0.2,0.033,4055.0,22487.0,5.9,4.9
656,2021-02-08,35000.0,0.2,0.033,4055.0,22487.0,5.9,4.9
657,2021-02-09,36000.0,0.2,0.033,4055.0,22487.0,5.9,4.9
658,2021-02-17,38400.0,0.2,0.033,4055.0,22487.0,5.9,4.9
659,2021-02-18,38900.0,0.2,0.033,4055.0,22487.0,5.9,4.9
660,2021-02-19,38700.0,0.2,0.033,4055.0,22487.0,5.9,4.9
661,2021-02-22,38600.0,0.2,0.033,4055.0,22487.0,5.9,4.9
662,2021-02-23,39800.0,0.2,0.033,4055.0,22487.0,5.9,4.9
663,2021-02-24,39100.0,0.2,0.033,4055.0,22487.0,5.9,4.9
664,2021-02-25,39100.0,0.2,0.033,4055.0,22487.0,5.9,4.9
665,2021-02-26,39250.0,0.2,0.033,4055.0,22487.0,5.9,4.9
666,2021-03-01,40200.0,0.2,0.033,4055.0,22487.0,5.9,4.9
667,2021-03-02,40300.0,0.2,0.033,4055.0,22487.0,5.9,4.9
668,2021-03-03,40350.0,0.2,0.033,4055.0,22487.0,5.9,4.9
669,2021-03-04,39050.0,0.2,0.033,4055.0,22487.0,5.9,4.9
670,2021-03-05,39200.0,0.2,0.033,4055.0,22487.0,5.9,4.9
671,2021-03-08,38850.0,0.2,0.033,4055.0,22487.0,5.9,4.9
672,2021-03-09,38950.0,0.2,0.033,4055.0,22487.0,5.9,4.9
673,2021-03-10,39300.0,0.2,0.033,4055.0,22487.0,5.9,4.9
674,2021-03-11,40150.0,0.2,0.033,4055.0,22487.0,5.9,4.9
675,2021-03-12,40050.0,0.2,0.033,4055.0,22487.0,5.9,4.9
676,2021-03-15,40100.0,0.2,0.033,4055.0,22487.0,5.9,4.9
677,2021-03-16,39850.0,0.2,0.033,4055.0,22487.0,5.9,4.9
678,2021-03-17,40300.0,0.2,0.033,4055.0,22487.0,5.9,4.9
679,2021-03-18,41950.0,0.2,0.033,4055.0,22487.0,5.9,4.9
680,2021-03-19,42000.0,0.2,0.033,4055.0,22487.0,5.9,4.9
681,2021-03-22,41300.0,0.2,0.033,4055.0,22487.0,5.9,4.9
682,2021-03-23,40450.0,0.2,0.033,4055.0,22487.0,5.9,4.9
683,2021-03-24,39300.0,0.2,0.033,4055.0,22487.0,5.9,4.9
684,2021-03-25,39350.0,0.2,0.033,4055.0,22487.0,5.9,4.9
685,2021-03-26,39400.0,0.2,0.033,4055.0,22487.0,5.9,4.9
686,2021-03-29,39550.0,0.2,0.033,4055.0,22487.0,5.9,4.9
687,2021-03-30,40050.0,0.2,0.033,4055.0,22487.0,5.9,4.9
688,2021-03-31,40400.0,0.2,0.033,4055.0,22487.0,5.9,4.9
689,2021-04-01,41000.0,0.215,0.036,4594.0,23854.0,6.0,5.0
690,2021-04-02,41250.0,0.215,0.036,4594.0,23854.0,6.0,5.0
691,2021-04-05,41500.0,0.215,0.036,4594.0,23854.0,6.0,5.0
692,2021-04-06,42200.0,0.215,0.036,4594.0,23854.0,6.0,5.0
693,2021-04-07,42200.0,0.215,0.036,4594.0,23854.0,6.0,5.0
694,2021-04-08,41950.0,0.215,0.036,4594.0,23854.0,6.0,5.0
695,2021-04-09,41600.0,0.215,0.036,4594.0,23854.0,6.0,5.0
696,2021-04-12,42150.0,0.215,0.036,4594.0,23854.0,6.0,5.0
697,2021-04-13,41600.0,0.215,0.036,4594.0,23854.0,6.0,5.0
698,2021-04-14,41800.0,0.215,0.036,4594.0,23854.0,6.0,5.0
699,2021-04-15,40900.0,0.215,0.036,4594.0,23854.0,6.0,5.0
700,2021-04-16,40450.0,0.215,0.036,4594.0,23854.0,6.0,5.0
701,2021-04-19,41600.0,0.215,0.036,4594.0,23854.0,6.0,5.0
702,2021-04-20,41150.0,0.215,0.036,4594.0,23854.0,6.0,5.0
703,2021-04-22,39700.0,0.215,0.036,4594.0,23854.0,6.0,5.0
704,2021-04-23,40500.0,0.215,0.036,4594.0,23854.0,6.0,5.0
705,2021-04-26,39450.0,0.215,0.036,4594.0,23854.0,6.0,5.0
706,2021-04-27,39500.0,0.215,0.036,4594.0,23854.0,6.0,5.0
707,2021-04-28,39950.0,0.215,0.036,4594.0,23854.0,6.0,5.0
708,2021-04-29,41000.0,0.215,0.036,4594.0,23854.0,6.0,5.0
709,2021-05-04,43400.0,0.215,0.036,4594.0,23854.0,6.0,5.0
710,2021-05-05,45950.0,0.215,0.036,4594.0,23854.0,6.0,5.0
711,2021-05-06,47100.0,0.215,0.036,4594.0,23854.0,6.0,5.0
712,2021-05-07,47050.0,0.215,0.036,4594.0,23854.0,6.0,5.0
713,2021-05-10,48100.0,0.215,0.036,4594.0,23854.0,6.0,5.0
714,2021-05-11,47000.0,0.215,0.036,4594.0,23854.0,6.0,5.0
715,2021-05-12,49250.0,0.215,0.036,4594.0,23854.0,6.0,5.0
716,2021-05-13,48000.0,0.215,0.036,4594.0,23854.0,6.0,5.0
717,2021-05-14,48650.0,0.215,0.036,4594.0,23854.0,6.0,5.0
718,2021-05-17,47850.0,0.215,0.036,4594.0,23854.0,6.0,5.0
719,2021-05-18,48350.0,0.215,0.036,4594.0,23854.0,6.0,5.0
720,2021-05-19,50100.0,0.215,0.036,4594.0,23854.0,6.0,5.0
721,2021-05-20,50200.0,0.215,0.036,4594.0,23854.0,6.0,5.0
722,2021-05-21,50800.0,0.215,0.036,4594.0,23854.0,6.0,5.0
723,2021-05-24,50900.0,0.215,0.036,4594.0,23854.0,6.0,5.0
724,2021-05-25,51600.0,0.215,0.036,4594.0,23854.0,6.0,5.0
725,2021-05-26,52800.0,0.215,0.036,4594.0,23854.0,6.0,5.0
726,2021-05-27,51400.0,0.215,0.036,4594.0,23854.0,6.0,5.0
727,2021-05-28,53000.0,0.215,0.036,4594.0,23854.0,6.0,5.0
728,2021-05-31,53700.0,0.215,0.036,4594.0,23854.0,6.0,5.0
729,2021-06-01,53100.0,0.215,0.036,4594.0,23854.0,6.0,5.0
730,2021-06-02,52800.0,0.215,0.036,4594.0,23854.0,6.0,5.0
731,2021-06-03,54800.0,0.215,0.036,4594.0,23854.0,6.0,5.0
732,2021-06-04,54600.0,0.215,0.036,4594.0,23854.0,6.0,5.0
733,2021-06-07,52400.0,0.215,0.036,4594.0,23854.0,6.0,5.0
734,2021-06-08,49500.0,0.215,0.036,4594.0,23854.0,6.0,5.0
735,2021-06-09,50800.0,0.215,0.036,4594.0,23854.0,6.0,5.0
736,2021-06-10,50100.0,0.215,0.036,4594.0,23854.0,6.0,5.0
737,2021-06-11,52600.0,0.215,0.036,4594.0,23854.0,6.0,5.0
738,2021-06-14,52700.0,0.215,0.036,4594.0,23854.0,6.0,5.0
739,2021-06-15,52300.0,0.215,0.036,4594.0,23854.0,6.0,5.0
740,2021-06-16,50700.0,0.215,0.036,4594.0,23854.0,6.0,5.0
741,2021-06-17,50200.0,0.215,0.036,4594.0,23854.0,6.0,5.0
742,2021-06-18,51000.0,0.215,0.036,4594.0,23854.0,6.0,5.0
743,2021-06-21,50400.0,0.215,0.036,4594.0,23854.0,6.0,5.0
744,2021-06-22,50900.0,0.215,0.036,4594.0,23854.0,6.0,5.0
745,2021-06-23,51100.0,0.215,0.036,4594.0,23854.0,6.0,5.0
746,2021-06-24,50900.0,0.215,0.036,4594.0,23854.0,6.0,5.0
747,2021-06-25,51600.0,0.215,0.036,4594.0,23854.0,6.0,5.0
748,2021-06-28,53600.0,0.215,0.036,4594.0,23854.0,6.0,5.0
749,2021-06-29,53500.0,0.215,0.036,4594.0,23854.0,6.0,5.0
750,2021-06-30,52700.0,0.215,0.036,4594.0,23854.0,6.0,5.0
751,2021-07-01,53300.0,0.221,0.037,4946.0,25128.0,6.1,5.1
752,2021-07-02,54300.0,0.221,0.037,4946.0,25128.0,6.1,5.1
753,2021-07-05,58000.0,0.221,0.037,4946.0,25128.0,6.1,5.1
754,2021-07-06,54000.0,0.221,0.037,4946.0,25128.0,6.1,5.1
755,2021-07-07,56600.0,0.221,0.037,4946.0,25128.0,6.1,5.1
756,2021-07-08,56600.0,0.221,0.037,4946.0,25128.0,6.1,5.1
757,2021-07-09,56600.0,0.221,0.037,4946.0,25128.0,6.1,5.1
758,2021-07-12,53500.0,0.221,0.037,4946.0,25128.0,6.1,5.1
759,2021-07-13,53900.0,0.221,0.037,4946.0,25128.0,6.1,5.1
760,2021-07-14,51000.0,0.221,0.037,4946.0,25128.0,6.1,5.1
761,2021-07-15,52100.0,0.221,0.037,4946.0,25128.0,6.1,5.1
762,2021-07-16,51600.0,0.221,0.037,4946.0,25128.0,6.1,5.1
763,2021-07-19,48000.0,0.221,0.037,4946.0,25128.0,6.1,5.1
